,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
432,2021-09-08,61,23,36,120,50.833333333333336,19.166666666666668,30.0,80,68,94,66.66666666666667,56.666666666666664,78.33333333333333,5,0,4.166666666666667,0.0,79,77,65.83333333333333,64.16666666666667,8,3,3,5,0,0,6.666666666666667,2.5,2.5,4.166666666666667,0.0,0.0
433,2021-09-09,39,23,58,120,32.5,19.166666666666668,48.333333333333336,78,68,92,65.0,56.666666666666664,76.66666666666667,5,0,4.166666666666667,0.0,79,75,65.83333333333333,62.5,11,6,5,1,1,0,9.166666666666666,5.0,4.166666666666667,0.8333333333333334,0.8333333333333334,0.0
434,2021-09-10,61,26,33,120,50.833333333333336,21.666666666666668,27.5,82,68,92,68.33333333333333,56.666666666666664,76.66666666666667,3,0,2.5,0.0,77,73,64.16666666666667,60.833333333333336,5,4,3,1,0,0,4.166666666666667,3.3333333333333335,2.5,0.8333333333333334,0.0,0.0
435,2021-09-13,55,22,43,120,45.833333333333336,18.333333333333332,35.833333333333336,81,67,95,67.5,55.833333333333336,79.16666666666667,6,0,5.0,0.0,78,70,65.0,58.333333333333336,15,9,5,4,0,0,12.5,7.5,4.166666666666667,3.3333333333333335,0.0,0.0
436,2021-09-14,32,33,55,120,26.666666666666668,27.5,45.833333333333336,78,71,92,65.0,59.166666666666664,76.66666666666667,6,0,5.0,0.0,80,71,66.66666666666667,59.166666666666664,9,4,2,2,0,0,7.5,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.0,0.0
437,2021-09-15,62,24,34,120,51.666666666666664,20.0,28.333333333333332,79,73,92,65.83333333333333,60.833333333333336,76.66666666666667,5,0,4.166666666666667,0.0,78,69,65.0,57.5,7,5,4,2,1,0,5.833333333333333,4.166666666666667,3.3333333333333335,1.6666666666666667,0.8333333333333334,0.0
438,2021-09-16,44,35,41,120,36.666666666666664,29.166666666666668,34.166666666666664,84,83,93,70.0,69.16666666666667,77.5,3,0,2.5,0.0,84,70,70.0,58.333333333333336,10,1,1,1,0,0,8.333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
439,2021-09-17,25,19,76,120,20.833333333333332,15.833333333333334,63.333333333333336,65,72,92,54.166666666666664,60.0,76.66666666666667,2,0,1.6666666666666667,0.0,83,64,69.16666666666667,53.333333333333336,3,1,0,3,1,0,2.5,0.8333333333333334,0.0,2.5,0.8333333333333334,0.0
440,2021-09-20,18,14,88,120,15.0,11.666666666666666,73.33333333333333,33,59,90,27.5,49.166666666666664,75.0,1,0,0.8333333333333334,0.0,79,48,65.83333333333333,40.0,8,5,3,14,1,0,6.666666666666667,4.166666666666667,2.5,11.666666666666666,0.8333333333333334,0.0
441,2021-09-21,59,30,31,120,49.166666666666664,25.0,25.833333333333332,43,60,91,35.833333333333336,50.0,75.83333333333333,1,0,0.8333333333333334,0.0,77,43,64.16666666666667,35.833333333333336,1,1,1,21,2,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,17.5,1.6666666666666667,0.0
